Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Alex Doolan,233648,c †Carey b Rashid Khan,29,23,3,1,126.09,0
D'Arcy Short,308798,c Siddle b Stanlake,96,58,9,4,165.52,0
Ben McDermott,603410,c Weatherald b Rashid Khan,18,18,0,1,100.0,0
George Bailey (c),4451,c Neser b Stanlake,1,3,0,0,33.33,0
Dan Christian,4864,run out (Weatherald/†Carey/Neser),7,3,0,1,233.33,0
Matthew Wade †,230193,not out ,20,13,1,0,153.85,0
Simon Milenko,326639,not out ,7,3,1,0,233.33,0
Alex Carey †,326434,c Mills b Archer,2,4,0,0,50.0,1
Jake Weatherald,781285,c Bailey b Rose,7,10,1,0,70.0,1
Travis Head (c),530011,c Milenko b Archer,44,32,1,3,137.5,1
Colin Ingram,45705,c Short b Mills,66,44,9,2,150.0,1
Jonathan Wells,233680,run out (†Wade),28,18,0,2,155.56,1
Jake Lehmann,437448,lbw b Archer,16,8,1,1,200.0,1
Michael Neser,376169,not out ,1,2,0,0,50.0,1
Rashid Khan,793463,not out ,4,3,0,0,133.33,1
