Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
David Warner,219889,c Malan b Ngidi,35,23,26,4,1,152.17,0
Aaron Finch (c),5334,c †de Kock b Nortje,69,87,118,6,2,79.31,0
Steven Smith,267192,c Smuts b Ngidi,13,17,29,1,0,76.47,0
Marnus Labuschagne,787987,c Malan b Ngidi,0,1,2,0,0,0.0,0
D'Arcy Short,308798,c Malan b Shamsi,69,83,116,5,0,83.13,0
Mitchell Marsh,272450, b Phehlukwayo,36,45,67,3,0,80.0,0
Alex Carey †,326434,c †de Kock b Ngidi,21,21,34,1,0,100.0,0
Ashton Agar,505120,c Maharaj b Ngidi,9,8,13,0,0,112.5,0
Pat Cummins,489889,c Smuts b Ngidi,6,7,11,0,0,85.71,0
Mitchell Starc,311592,lbw b Nortje,3,5,9,0,0,60.0,0
Adam Zampa,379504,not out ,3,3,7,0,0,100.0,0
Janneman Malan,605680,not out ,129,139,215,7,4,92.81,1
Quinton de Kock (c)†,379143, b Starc,0,2,3,0,0,0.0,1
JJ Smuts,280490,c Cummins b Zampa,41,64,85,3,0,64.06,1
Kyle Verreynne,595004,c Marsh b Cummins,3,6,14,0,0,50.0,1
Heinrich Klaasen,436757,c Finch b Zampa,51,52,64,3,1,98.08,1
David Miller,321777,not out ,37,29,47,3,0,127.59,1
