Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Asad Shafiq,316397,lbw b Shahid Afridi,16,16,2,0,100.0,0
Shane Watson,8180,not out ,90,58,5,7,155.17,0
Kevin Pietersen,19296,c Bopara b Usman Shinwari,52,34,7,1,152.94,0
Rilee Rossouw,318845,c Denly b Mohammad Amir,13,7,1,1,185.71,0
Anwar Ali,232491,c Babar Azam b Mohammad Irfan,6,4,1,0,150.0,0
Rameez Raja,232489,not out ,1,1,0,0,100.0,0
Joe Denly,12454,st †Sarfraz Ahmed b Mohammad Nawaz,1,3,0,0,33.33,1
Shahid Afridi,42639,c Laughlin b Rahat Ali,1,6,0,0,16.67,1
Colin Ingram,45705,c Mohammad Nawaz b Hassan Khan,5,6,1,0,83.33,1
Babar Azam,348144,c Anwar Ali b Watson,32,32,3,1,100.0,1
Ravi Bopara,10582,c †Sarfraz Ahmed b Laughlin,0,1,0,0,0.0,1
Imad Wasim (c),227758,c Anwar Ali b Rahat Ali,35,31,1,1,112.9,1
Mohammad Rizwan †,323389,not out ,26,27,0,0,96.3,1
David Wiese,221140,c Laughlin b Anwar Ali,5,6,1,0,83.33,1
Mohammad Irfan,805925,c Asad Shafiq b Anwar Ali,0,1,0,0,0.0,1
Mohammad Amir,290948,not out ,6,7,1,0,85.71,1
