Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Jason Roy,298438,lbw b Gabriel,13,22,27,2,0,59.09,0
Sam Billings,297628,c CR Brathwaite b Nurse,52,56,96,7,0,92.86,0
Joe Root,303669, b Gabriel,4,5,9,0,0,80.0,0
Eoin Morgan (c),24598,run out (CR Brathwaite),107,116,179,11,2,92.24,0
Jos Buttler †,308967,c Carter b Nurse,14,19,15,0,0,73.68,0
Ben Stokes,311158,c Holder b Bishoo,55,61,81,0,3,90.16,0
Moeen Ali,8917,not out ,31,22,25,2,0,140.91,0
Chris Woakes,247235,not out ,0,0,2,0,0,,0
Kraigg Brathwaite,348024,c Rashid b Woakes,14,26,49,1,0,53.85,1
Evin Lewis,431901,c Billings b Woakes,21,33,37,2,0,63.64,1
Kieran Powell,252932,c Roy b Plunkett,1,5,6,0,0,20.0,1
Shai Hope †,581379,c Finn b Rashid,31,38,54,2,0,81.58,1
Jason Mohammed,230549,run out (Finn),72,91,122,7,0,79.12,1
Jonathan Carter,314615,c Roy b Plunkett,52,47,54,4,2,110.64,1
Jason Holder (c),391485,c †Buttler b Plunkett,4,7,12,0,0,57.14,1
Carlos Brathwaite,457249,c Root b Woakes,12,12,19,1,0,100.0,1
Ashley Nurse,315594,lbw b Woakes,21,15,21,0,2,140.0,1
Devendra Bishoo,341593,not out ,12,6,15,2,0,200.0,1
Shannon Gabriel,446101,c †Buttler b Plunkett,0,4,6,0,0,0.0,1
