Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Marcus Harris,434813,lbw b Broad,13,24,36,1,0,54.17,0
David Warner,219889,c †Bairstow b Broad,0,2,5,0,0,0.0,0
Marnus Labuschagne,787987, b Overton,67,128,187,10,0,52.34,0
Steven Smith,267192,c Denly b Root,211,319,513,24,2,66.14,0
Travis Head,530011,lbw b Broad,19,22,49,3,0,86.36,0
Matthew Wade,230193,c Root b Leach,16,45,56,2,0,35.56,0
Tim Paine (c)†,7252,c †Bairstow b Overton,58,127,186,8,0,45.67,0
Pat Cummins,489889,c Stokes b Leach,4,9,16,1,0,44.44,0
Mitchell Starc,311592,not out ,54,58,86,7,2,93.1,0
Nathan Lyon,272279,not out ,26,26,36,4,0,100.0,0
Rory Burns,398778,c Smith b Hazlewood,81,185,294,9,0,43.78,1
Joe Denly,12454,c Wade b Cummins,4,24,33,0,0,16.67,1
Craig Overton,464626,c Smith b Hazlewood,5,15,22,0,0,33.33,1
Joe Root (c),303669,lbw b Hazlewood,71,168,255,10,0,42.26,1
Jason Roy,298438, b Hazlewood,22,33,41,3,0,66.67,1
Ben Stokes,311158,c Smith b Starc,26,62,107,3,0,41.94,1
Jonny Bairstow †,297433, b Starc,17,37,59,2,0,45.95,1
Jos Buttler,308967, b Cummins,41,65,115,7,0,63.08,1
Jofra Archer,669855,c †Paine b Cummins,1,19,23,0,0,5.26,1
Stuart Broad,10617, b Starc,5,29,44,0,0,17.24,1
Jack Leach,455524,not out ,4,9,25,1,0,44.44,1
David Warner,219889,lbw b Broad,0,6,5,0,0,0.0,2
Marcus Harris,434813,lbw b Broad,6,16,30,1,0,37.5,2
Marnus Labuschagne,787987,lbw b Archer,11,25,41,2,0,44.0,2
Steven Smith,267192,c Stokes b Leach,82,92,155,11,0,89.13,2
Travis Head,530011, b Archer,12,19,20,2,0,63.16,2
Matthew Wade,230193,c †Bairstow b Archer,34,76,124,2,0,44.74,2
Tim Paine (c)†,7252,not out ,23,18,25,4,0,127.78,2
Mitchell Starc,311592,not out ,3,6,18,0,0,50.0,2
Rory Burns,398778,c Head b Cummins,0,3,3,0,0,0.0,3
Joe Denly,12454,c Labuschagne b Lyon,53,123,177,6,0,43.09,3
Joe Root (c),303669, b Cummins,0,1,2,0,0,0.0,3
Jason Roy,298438, b Cummins,31,67,110,4,0,46.27,3
Ben Stokes,311158,c †Paine b Cummins,1,17,22,0,0,5.88,3
Jonny Bairstow †,297433,lbw b Starc,25,61,101,1,0,40.98,3
Jos Buttler,308967, b Hazlewood,34,111,151,4,0,30.63,3
Craig Overton,464626,lbw b Hazlewood,21,105,172,2,0,20.0,3
Jofra Archer,669855,lbw b Lyon,1,9,7,0,0,11.11,3
Jack Leach,455524,c Wade b Labuschagne,12,51,64,1,0,23.53,3
Stuart Broad,10617,not out ,0,3,11,0,0,0.0,3
