Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Aaron Finch,5334,c Pandya b Yadav,94,96,140,10,3,97.92,0
David Warner,219889,c Patel b Jadhav,124,119,134,12,4,104.2,0
Travis Head,530011,c Rahane b Yadav,29,38,55,1,1,76.32,0
Steven Smith (c),267192,c Kohli b Yadav,3,5,5,0,0,60.0,0
Peter Handscomb,334337, b Yadav,43,30,54,3,1,143.33,0
Marcus Stoinis,325012,not out ,15,9,17,1,1,166.67,0
Matthew Wade †,230193,not out ,3,3,6,0,0,100.0,0
Ajinkya Rahane,277916,c Finch b Richardson,53,66,75,6,1,80.3,1
Rohit Sharma,34102,run out (Smith/Handscomb/Richardson),65,55,93,1,5,118.18,1
Virat Kohli (c),253802, b Coulter-Nile,21,21,23,3,0,100.0,1
Hardik Pandya,625371,c Warner b Zampa,41,40,64,1,3,102.5,1
Kedar Jadhav,290716,c Finch b Richardson,67,69,95,7,1,97.1,1
Manish Pandey,290630, b Cummins,33,25,40,3,1,132.0,1
MS Dhoni †,28081, b Richardson,13,10,12,1,1,130.0,1
Axar Patel,554691,c sub (GJ Maxwell) b Coulter-Nile,5,6,15,0,0,83.33,1
Mohammed Shami,481896,not out ,6,6,10,1,0,100.0,1
Umesh Yadav,376116,not out ,2,2,3,0,0,100.0,1
