Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Virat Kohli (c),253802,c RG Sharma b McClenaghan,20,14,24,0,2,142.86,0
Mandeep Singh,398506,c HH Pandya b KV Sharma,17,13,16,3,0,130.77,0
Travis Head,530011,c HH Pandya b KH Pandya,12,15,30,1,0,80.0,0
AB de Villiers,44936,c Bumrah b KH Pandya,43,27,30,3,3,159.26,0
Kedar Jadhav †,290716,c Pollard b McClenaghan,28,22,49,2,0,127.27,0
Shane Watson,8180, b Bumrah,3,5,8,0,0,60.0,0
Pawan Negi,530773,c Pollard b McClenaghan,35,23,30,1,3,152.17,0
Adam Milne,450860,not out ,0,1,3,0,0,0.0,0
Sreenath Aravind,290632,run out (†Patel),0,0,1,0,0,,0
Parthiv Patel †,32242,c Chahal b Choudhary,0,1,1,0,0,0.0,1
Jos Buttler,308967,c Head b Negi,33,21,37,4,1,157.14,1
Nitish Rana,604527,c Head b Negi,27,28,44,4,0,96.43,1
Rohit Sharma (c),34102,not out ,56,37,65,6,1,151.35,1
Kieron Pollard,230559,c Head b Chahal,17,13,14,2,0,130.77,1
Krunal Pandya,471342,retired hurt ,2,2,4,0,0,100.0,1
Karn Sharma,30288,c Milne b Watson,9,8,17,1,0,112.5,1
Hardik Pandya,625371,not out ,14,9,18,0,1,155.56,1
