Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Kamran Akmal †,41028, b Aamer Yamin,0,5,0,0,0.0,0
Imam-ul-Haq,568276, b Usman Shinwari,56,43,5,1,130.23,0
Umar Amin,288211,st †Mohammad Rizwan b Sikandar Raza,15,18,1,0,83.33,0
Wayne Madsen,46543, b Sikandar Raza,0,3,0,0,0.0,0
Kieron Pollard,230559, b Imad Wasim,0,3,0,0,0.0,0
Liam Dawson,211855,c & b Usman Shinwari,43,33,4,1,130.3,0
Daren Sammy (c),53115,not out ,24,10,3,1,240.0,0
Wahab Riaz,43590,c Sikandar Raza b Mohammad Amir,0,2,0,0,0.0,0
Hasan Ali,681305,run out (Aamer Yamin),2,3,0,0,66.67,0
Umaid Asif,429122,not out ,0,0,0,0,,0
Liam Livingstone,403902,lbw b Hasan Ali,0,1,0,0,0.0,1
Babar Azam,348144,run out (Hasan Ali),1,4,0,0,25.0,1
Ben Dunk,388678,c †Kamran Akmal b Wahab Riaz,12,15,2,0,80.0,1
Colin Ingram,45705,run out (Imam-ul-Haq),21,14,4,0,150.0,1
Sikandar Raza,299572, b Umaid Asif,14,26,1,0,53.85,1
Imad Wasim (c),227758,c sub (Khalid Usman) b Hasan Ali,26,27,1,0,96.3,1
Mohammad Rizwan †,323389,not out ,32,27,2,0,118.52,1
Aamer Yamin,434429,c Dawson b Hasan Ali,0,1,0,0,0.0,1
Mohammad Amir,290948,c Wahab Riaz b Hasan Ali,0,1,0,0,0.0,1
Umer Khan,1072473,c Hasan Ali b Pollard,0,1,0,0,0.0,1
Usman Shinwari,697279,not out ,1,3,0,0,33.33,1
