Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Matthew Wade (c)†,230193,c Manenti b Abbott,86,44,10,3,195.45,0
D'Arcy Short,308798, b Abbott,72,52,7,3,138.46,0
Ben McDermott,603410,c Abbott b Christian,4,4,0,0,100.0,0
Dawid Malan,236489,c Henriques b Ball,11,8,1,0,137.5,0
Will Jacks,897549,c Christian b Ball,1,3,0,0,33.33,0
Tim David,892749,c Vince b Dwarshuis,7,4,1,0,175.0,0
Nathan Ellis,826915,c †Philippe b Dwarshuis,2,3,0,0,66.67,0
Nick Winter,501498,not out ,0,1,0,0,0.0,0
Scott Boland,446548,run out (†Philippe),0,1,0,0,0.0,0
Josh Philippe †,1124282,lbw b Boland,12,8,1,1,150.0,1
James Vince,296597,c David b Ellis,5,9,0,0,55.56,1
Daniel Hughes,571761,c David b Boland,11,8,2,0,137.5,1
Moises Henriques (c),5961,c Ellis b Lamichhane,43,25,1,4,172.0,1
Jordan Silk,437669,c Short b Meredith,78,49,8,2,159.18,1
Dan Christian,4864, b Lamichhane,0,1,0,0,0.0,1
Carlos Brathwaite,457249,c McDermott b Ellis,6,9,0,0,66.67,1
Sean Abbott,398666,c & b Ellis,5,4,0,0,125.0,1
Ben Dwarshuis,679567,not out ,10,9,1,0,111.11,1
Benjamin Manenti,1065115,not out ,0,0,0,0,,1
