Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Hamilton Masakadza,55608,c Pradeep b de Silva,111,98,152,15,1,113.27,0
Solomon Mire,290462,lbw b Pradeep,13,21,35,2,0,61.9,0
Tarisai Musakanda,596375,c Tharanga b Gunaratne,48,57,88,4,1,84.21,0
Craig Ervine,55412,lbw b de Silva,16,24,42,1,0,66.67,0
Sean Williams,55870, b Gunaratne,43,47,51,2,0,91.49,0
Malcolm Waller,55872,lbw b Malinga,17,24,45,1,0,70.83,0
Sikandar Raza,299572,not out ,25,17,29,2,1,147.06,0
Peter Moor †,333000,c Mendis b Sandakan,24,11,12,2,2,218.18,0
Graeme Cremer (c),55346,run out (Sandakan),0,0,1,0,0,,0
Carl Mumba,672775,not out ,2,2,5,0,0,100.0,0
Niroshan Dickwella †,429754,c Williams b Waller,102,116,148,14,0,87.93,1
Danushka Gunathilaka,345821, b Williams,116,111,153,15,1,104.5,1
Kusal Mendis,629074,not out ,28,25,54,2,0,112.0,1
Upul Tharanga,50747,not out ,44,32,49,3,2,137.5,1
