Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Luke Ronchi †,7502,c Rossouw b Junaid Khan,18,10,2,1,180.0,0
Colin Munro,232359,c Sohail Tanvir b Imran Tahir,25,12,1,3,208.33,0
Shadab Khan (c),922943,c Ali b Imran Tahir,14,12,1,0,116.67,0
Colin Ingram,45705,c Vince b Ali,6,4,1,0,150.0,0
Asif Ali,494230,c & b Junaid Khan,4,4,0,0,100.0,0
Rizwan Hussain,962107,run out (Shan Masood/Junaid Khan),7,4,1,0,175.0,0
Amad Butt,717373,run out (Vince/†Zeeshan Ashraf),8,8,0,1,100.0,0
Rumman Raees,448243,not out ,0,0,0,0,,0
Zeeshan Ashraf †,520183,c & b Shadab Khan,16,12,3,0,133.33,1
James Vince,296597,not out ,61,24,11,1,254.17,1
Moeen Ali,8917,not out ,14,5,3,0,280.0,1
