Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Paul Stirling,303427,c & b Rashid Khan,60,41,8,2,146.34,0
Kevin O'Brien,24605, b Mujeeb Ur Rahman,35,17,4,2,205.88,0
Andy Balbirnie (c),303423, b Rashid Khan,29,28,3,0,103.57,0
Gareth Delany,1099379, b Shapoor Zadran,9,10,1,0,90.0,0
Harry Tector,961407,not out ,29,17,3,1,170.59,0
Lorcan Tucker †,928057,c Mujeeb Ur Rahman b Rashid Khan,3,3,0,0,100.0,0
Simi Singh,1005257,run out (Mohammad Nabi/†Rahmanullah Gurbaz),4,3,0,0,133.33,0
George Dockrell,348034,not out ,1,1,0,0,100.0,0
Hazratullah Zazai,793457, b Simi Singh,23,15,2,2,153.33,1
Rahmanullah Gurbaz †,974087,lbw b Simi Singh,28,13,4,1,215.38,1
Karim Janat,793467,run out (Tector/†Tucker),6,12,0,0,50.0,1
Asghar Afghan (c),320652,run out (Simi Singh),0,0,0,0,,1
Samiullah Shinwari,318339, b Rankin,28,29,3,0,96.55,1
Najibullah Zadran,524049,not out ,42,21,3,2,200.0,1
