Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Zaheer Khan,30102,4,0,48,0,12.00,6,5,2,0,0,0
Shahbaz Nadeem,31872,4,0,32,0,8.00,8,2,2,0,0,0
Chris Morris,439952,4,0,35,2,8.75,7,3,1,1,0,0
Amit Mishra,31107,3,0,27,0,9.00,5,3,1,0,0,0
Imran Tahir,40618,4,0,24,3,6.00,9,1,1,0,0,0
Jean-Paul Duminy,44932,1,0,4,1,4.00,2,0,0,0,0,0
Praveen Kumar,30732,4,0,13,0,3.25,13,0,0,0,0,1
Dhawal Kulkarni,277955,4,1,19,3,4.75,14,3,0,0,0,1
Dwayne Bravo,51439,4,0,40,1,10.00,7,4,1,1,0,1
Suresh Raina,33335,2,0,17,0,8.50,2,2,0,0,0,1
Dwayne Smith,53118,2,0,26,0,13.00,1,0,3,0,0,1
James Faulkner,270484,2,0,23,1,11.50,3,1,2,0,0,1
Ravindra Jadeja,234675,1,0,14,0,14.00,0,1,1,0,0,1
Pravin Tambe,587152,1,0,17,0,17.00,1,0,2,0,0,1
