Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Kemar Roach,230553,16,2,47,3,2.93,0,1,0
Shannon Gabriel,446101,9,2,22,0,2.44,3,0,0
Rahkeem Cornwall,494581,14,6,25,1,1.78,0,0,0
Alzarri Joseph,670031,11,2,32,0,2.90,0,0,0
Jason Holder,391485,17.4,6,27,5,1.52,2,0,0
Kyle Mayers,348056,2,0,6,0,3.00,0,0,0
Suranga Lakmal,49619,25,9,47,5,1.88,0,3,1
Vishwa Fernando,465783,17,6,52,2,3.05,0,0,1
Dushmantha Chameera,552152,22,1,71,2,3.22,1,2,1
Lasith Embuldeniya,848109,28,6,64,1,2.28,0,4,1
Dhananjaya de Silva,465793,11,2,30,0,2.72,0,0,1
Kemar Roach,230553,27,3,74,3,2.74,0,6,2
Shannon Gabriel,446101,18,2,67,0,3.72,0,0,2
Jason Holder,391485,22,4,40,0,1.81,0,2,2
Alzarri Joseph,670031,21,2,83,1,3.95,0,0,2
Rahkeem Cornwall,494581,42.5,4,137,3,3.19,0,0,2
Kraigg Brathwaite,348024,9,1,30,0,3.33,0,0,2
Kyle Mayers,348056,9,2,24,2,2.66,0,3,2
Jermaine Blackwood,431909,1,0,3,0,3.00,0,0,2
Suranga Lakmal,49619,25,10,33,0,1.32,0,0,3
Vishwa Fernando,465783,19,0,73,2,3.84,0,1,3
Lasith Embuldeniya,848109,28,9,62,2,2.21,0,1,3
Dushmantha Chameera,552152,18,3,44,0,2.44,0,1,3
Dhananjaya de Silva,465793,10,5,12,0,1.20,0,0,3
