Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Tom Cooper,219885,2,0,8,0,4.00,6,0,0,0,0,0
Kane Richardson,272262,3,0,34,0,11.33,5,3,2,0,0,0
Chris Tremain,553800,3,0,21,1,7.00,8,2,1,0,0,0
Dwayne Bravo,51439,4,0,30,2,7.50,8,1,1,1,0,0
Brad Hogg,5681,3,0,30,0,10.00,5,3,1,0,0,0
Jack Wildermuth,570854,3,0,29,1,9.66,4,3,0,3,0,0
Kieron Pollard,230559,2,0,20,1,10.00,4,0,2,1,1,0
Michael Neser,376169,4,0,46,0,11.50,5,5,2,0,0,1
Billy Stanlake,533042,4,0,22,2,5.50,13,3,0,0,0,1
Peter Siddle,7898,4,0,24,1,6.00,9,0,1,0,1,1
Ben Laughlin,315623,4,0,18,2,4.50,10,0,0,1,1,1
Rashid Khan,793463,4,0,26,2,6.50,8,1,1,0,0,1
