Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Shaheen Shah Afridi,1072470,10,1,42,0,4.20,3,0,0
Mohammad Hasnain,1158100,10,3,26,5,2.60,1,0,0
Muhammad Musa,1072472,10,0,80,0,8.00,2,0,0
Wahab Riaz,43590,10,0,65,1,6.50,2,1,0
Iftikhar Ahmed,480603,10,0,60,0,6.00,0,0,0
Blessing Muzarabani,827051,10,1,49,5,4.90,3,0,1
Richard Ngarava,806241,9,0,62,2,6.88,0,0,1
Tendai Chisoro,235519,7,0,48,0,6.85,0,0,1
Donald Tiripano,392945,7,0,39,2,5.57,2,0,1
Sikandar Raza,299572,10,0,42,0,4.20,0,1,1
Sean Williams,55870,7,0,37,0,5.28,0,0,1
