Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Matt Renshaw,722303,4,0,23,0,5.75,6,0,0,0,0,0
Mujeeb Ur Rahman,974109,4,0,16,3,4.00,11,0,0,0,0,0
Matthew Kuhnemann,774219,4,0,22,2,5.50,10,2,0,1,0,0
Josh Lalor,272385,3,0,23,3,7.66,8,3,0,1,0,0
Jack Prestwidge,977451,3,0,26,0,8.66,5,2,1,1,0,0
Ben Cutting,230371,2,0,16,1,8.00,3,1,0,0,0,0
Jason Behrendorff,272477,4,1,11,0,2.75,19,2,0,0,0,1
Matthew Kelly,638912,3,0,27,2,9.00,8,3,1,0,0,1
Usman Qadir,348152,4,0,29,1,7.25,10,1,2,0,0,1
Clint Hinchliffe,774217,4,0,21,1,5.25,11,1,0,1,0,1
Andrew Tye,459508,2.3,0,34,0,13.60,6,2,3,1,0,1
