Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Shardul Thakur,475281,8.5,0,52,4,5.88,35,5,3,3,0,0
Jasprit Bumrah,625383,8,1,24,2,3.00,36,4,0,0,0,0
Hardik Pandya,625371,10,0,39,1,3.90,35,3,1,0,0,0
Kuldeep Yadav,559235,10,0,51,1,5.09,31,5,1,0,0,0
Yuzvendra Chahal,430246,10,0,38,2,3.80,35,0,2,0,0,0
Morne Morkel,46538,7,0,42,0,6.00,24,7,0,2,0,1
Lungi Ngidi,542023,8,1,54,2,6.75,24,8,0,3,0,1
Chris Morris,439952,6,0,36,0,6.00,20,5,0,0,0,1
Andile Phehlukwayo,540316,4,0,27,0,6.75,12,4,0,0,0,1
Imran Tahir,40618,7.1,0,42,0,5.86,21,3,2,0,0,1
