Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Bhuvneshwar Kumar,326016,12.3,2,41,1,3.28,0,0,0
Umesh Yadav,376116,15,1,69,2,4.59,0,0,0
Ravichandran Ashwin,26421,23,5,54,1,2.34,0,0,0
Ravindra Jadeja,234675,15,1,57,1,3.80,0,0,0
Kuldeep Yadav,559235,23,3,68,4,2.95,0,0,0
Josh Hazlewood,288284,25,8,51,1,2.04,0,0,1
Pat Cummins,489889,30,8,94,3,3.13,1,0,1
Nathan Lyon,272279,34.1,5,92,5,2.69,0,0,1
Steve O'Keefe,7069,27,4,75,1,2.77,0,0,1
Glenn Maxwell,325026,2,0,5,0,2.50,0,0,1
Bhuvneshwar Kumar,326016,7,1,27,1,3.85,0,0,2
Umesh Yadav,376116,10,3,29,3,2.90,0,0,2
Kuldeep Yadav,559235,5,0,23,0,4.59,0,0,2
Ravindra Jadeja,234675,18,7,24,3,1.33,0,0,2
Ravichandran Ashwin,26421,13.5,4,29,3,2.09,0,0,2
Pat Cummins,489889,8,2,42,1,5.25,0,0,3
Josh Hazlewood,288284,6,2,14,0,2.33,0,0,3
Steve O'Keefe,7069,4.5,1,22,0,4.55,0,0,3
Nathan Lyon,272279,5,0,19,0,3.80,0,0,3
