Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Johan Botha,44149,4,0,21,1,5.25,0,0,0
Ben Dwarshuis,679567,3,0,44,1,14.66,1,0,0
Joe Mennie,439288,1,0,20,0,20.00,0,0,0
Sean Abbott,398666,4,0,41,2,10.25,0,0,0
Steve O'Keefe,7069,4,0,31,1,7.75,1,0,0
Doug Bollinger,4508,4,0,37,1,9.25,1,0,0
Shaun Tait,8076,3.2,0,32,3,9.60,4,0,1
Clive Rose,288285,2,0,14,2,7.00,0,0,1
Stuart Broad,10617,3,0,35,0,11.66,2,0,1
Hamish Kingston,326679,3,0,20,2,6.66,0,0,1
Cameron Boyce,326625,4,0,32,1,8.00,0,0,1
D'Arcy Short,308798,1,0,6,1,6.00,0,0,1
