Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Tim Murtagh,17134,10,0,62,2,6.20,1,0,0
Peter Chase,524845,10,0,74,1,7.40,6,0,0
Barry McCarthy,348059,10,0,59,2,5.90,0,0,0
George Dockrell,348034,10,0,42,0,4.20,0,0,0
Kevin O'Brien,24605,10,0,46,1,4.59,1,0,0
Seth Rance,395057,8.3,1,44,1,5.17,0,1,1
Scott Kuggeleijn,539548,9,1,41,3,4.55,2,0,1
James Neesham,355269,6,0,37,0,6.16,1,1,1
Colin Munro,232359,4,0,16,0,4.00,0,0,1
Mitchell Santner,502714,10,0,50,5,5.00,2,0,1
Ish Sodhi,559066,8,0,40,1,5.00,0,0,1
