Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Kemar Roach,230553,15,5,30,4,2.00,1,0,0
Shannon Gabriel,446101,15,5,45,3,3.00,0,0,0
Alzarri Joseph,670031,10,3,38,2,3.80,0,0,0
Jason Holder,391485,13,5,43,1,3.30,0,0,0
Roston Chase,391832,8,1,31,0,3.87,0,0,0
James Anderson,8608,29,5,73,2,2.51,0,0,1
Stuart Broad,10617,36,16,53,3,1.47,1,0,1
Ben Stokes,311158,27,8,58,2,2.14,0,1,1
Sam Curran,662973,13,0,38,0,2.92,0,1,1
Moeen Ali,8917,25,4,62,3,2.48,0,0,1
Joe Denly,12454,1,0,1,0,1.00,0,0,1
Kemar Roach,230553,13,2,52,4,4.00,1,0,2
Shannon Gabriel,446101,10,3,22,0,2.20,1,0,2
Jason Holder,391485,12.1,2,43,4,3.53,0,0,2
Alzarri Joseph,670031,7,4,12,2,1.71,0,0,2
James Anderson,8608,1.1,0,10,0,8.57,0,0,3
Stuart Broad,10617,1,0,6,0,6.00,0,0,3
