Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Usman Shinwari,697279,4,0,17,2,4.25,13,2,0,0,0,0
Mohammad Nabi,25913,1,0,12,0,12.00,1,2,0,0,0,0
Kane Richardson,272262,4,0,23,3,5.75,14,4,0,0,0,0
Jack Wildermuth,570854,3,0,13,2,4.33,9,1,0,0,0,0
Cameron Boyce,326625,4,0,13,0,3.25,13,0,0,0,0,0
Dan Christian,4864,3,0,22,3,7.33,9,2,1,2,0,0
Jason Behrendorff,272477,4,0,17,2,4.25,15,2,0,0,0,1
Nathan Coulter-Nile,261354,4,0,22,2,5.50,14,2,1,1,0,1
Andrew Tye,459508,2.2,0,25,0,10.71,6,2,2,0,0,1
David Willey,308251,1,0,10,0,10.00,4,1,1,0,0,1
Usman Qadir,348152,2,0,20,0,10.00,4,1,1,1,0,1
Ashton Agar,505120,2,0,10,1,5.00,5,0,0,1,0,1
