Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Daniel Sams,826901,2,0,24,2,12.00,3,3,1,0,0,0
Chris Morris,439952,2,0,30,0,15.00,3,5,1,1,0,0
Chris Green,787073,1,0,11,0,11.00,2,0,1,1,0,0
Arjun Nair,901157,1,0,30,0,30.00,1,0,5,0,0,0
Chris Tremain,553800,1,0,9,1,9.00,2,0,1,0,0,0
Brendan Doggett,931603,1,0,13,1,13.00,2,1,1,0,0,0
Josh Lalor,272385,1,0,11,0,11.00,3,0,1,0,0,1
Zahir Khan,712219,1,0,7,1,7.00,4,0,1,0,0,1
Ben Laughlin,315623,1,0,16,1,16.00,1,3,0,1,0,1
Jack Prestwidge,977451,1,0,15,2,15.00,2,2,1,0,0,1
Ben Cutting,230371,1,0,11,0,11.00,0,1,0,1,0,1
