Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Shardul Thakur,475281,10,0,66,1,6.60,29,5,3,2,0,0
Mohammed Shami,481896,10,2,66,1,6.60,27,5,3,0,0,0
Navdeep Saini,700167,10,0,58,2,5.80,33,8,1,1,0,0
Kuldeep Yadav,559235,10,0,67,0,6.70,27,3,5,0,0,0
Ravindra Jadeja,234675,10,0,54,1,5.40,28,6,0,0,0,0
Sheldon Cottrell,495551,10,1,74,1,7.40,22,7,1,3,0,1
Jason Holder,391485,10,0,63,1,6.30,23,7,1,0,0,1
Keemo Paul,677081,9.4,0,59,3,6.10,28,8,0,0,1,1
Roston Chase,391832,4,0,19,0,4.75,10,1,0,0,0,1
Khary Pierre,581160,7,0,46,0,6.57,14,6,0,0,0,1
Alzarri Joseph,670031,8,0,53,1,6.62,17,5,1,2,0,1
