Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Chris Green,787073,3,0,17,0,5.66,0,0,0
Clint McKay,6903,4,0,36,0,9.00,1,0,0
Carlos Brathwaite,457249,4,0,33,1,8.25,1,0,0
Shane Watson,8180,4,0,42,2,10.50,1,0,0
Arjun Nair,901157,2,0,16,0,8.00,0,0,0
Fawad Ahmed,240609,3,0,33,0,11.00,1,0,0
Michael Neser,376169,2,1,5,0,2.50,0,0,1
Kieron Pollard,230559,3,0,36,1,12.00,0,0,1
Ben Laughlin,315623,1,0,11,0,11.00,2,0,1
Liam O'Connor,334388,4,0,25,1,6.25,1,0,1
Jake Lehmann,437448,1,0,5,1,5.00,0,0,1
Brad Hodge,5674,1,0,8,0,8.00,0,0,1
Ish Sodhi,559066,3.3,0,11,6,3.14,0,0,1
