Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Dale Steyn,47492,17,3,60,0,3.52,0,0,0
Kagiso Rabada,550215,20,3,55,1,2.75,2,0,0
Lungi Ngidi,542023,14.2,1,54,0,3.76,2,1,0
Keshav Maharaj,267724,41.1,10,129,9,3.13,0,0,0
Aiden Markram,600498,8.4,1,24,0,2.76,0,0,0
Dean Elgar,230852,3,1,10,0,3.33,0,0,0
Dilruwan Perera,49920,12.5,1,40,4,3.11,0,0,1
Akila Dananjaya,574178,13,2,52,5,4.00,0,0,1
Rangana Herath,49178,9,1,32,1,3.55,0,1,1
Keshav Maharaj,267724,40,4,154,3,3.85,0,0,2
Kagiso Rabada,550215,8,0,42,0,5.25,0,1,2
Aiden Markram,600498,7,1,18,0,2.57,0,0,2
Theunis de Bruyn,486672,5,0,20,0,4.00,0,0,2
Dale Steyn,47492,11,2,30,0,2.72,0,0,2
Lungi Ngidi,542023,9,5,9,1,1.00,0,0,2
Dean Elgar,230852,1,0,2,0,2.00,0,0,2
Rangana Herath,49178,32.5,5,98,6,2.98,0,0,3
Dilruwan Perera,49920,30,4,90,2,3.00,0,3,3
Akila Dananjaya,574178,19,2,67,2,3.52,0,1,3
Suranga Lakmal,49619,2,0,8,0,4.00,0,0,3
Dhananjaya de Silva,465793,2,0,5,0,2.50,1,0,3
Danushka Gunathilaka,345821,1,0,1,0,1.00,0,0,3
