Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Harpreet Brar,1168641,3,0,24,0,8.00,7,1,2,0,0,0
Mohammed Shami,481896,3,0,17,2,5.66,8,2,0,0,0,0
Sam Curran,662973,4,0,35,3,8.75,8,2,2,1,0,0
Ravichandran Ashwin,26421,4,0,23,0,5.75,7,2,0,0,0,0
Andrew Tye,459508,3,0,37,0,12.33,2,5,1,0,0,0
Murugan Ashwin,528067,3,0,33,0,11.00,3,4,1,0,0,0
Deepak Chahar,447261,4,0,28,0,7.00,14,4,1,0,0,1
Harbhajan Singh,29264,4,0,57,3,14.25,8,5,5,1,0,1
Dwayne Bravo,51439,4,0,27,0,6.75,8,1,0,4,0,1
Imran Tahir,40618,4,0,36,0,9.00,9,2,3,0,0,1
Ravindra Jadeja,234675,2,0,16,1,8.00,5,1,1,0,0,1
