Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Vernon Philander,46945,20,2,50,2,2.50,0,2,0
Beuran Hendricks,379927,23,3,111,1,4.82,2,0,0
Anrich Nortje,481979,24,1,110,5,4.58,2,1,0
Dane Paterson,327947,20.2,3,86,2,4.22,0,0,0
Dwaine Pretorius,327830,11,3,34,0,3.09,0,0,0
Stuart Broad,10617,14,3,27,0,1.92,0,0,1
Sam Curran,662973,12,4,25,1,2.08,0,0,1
Chris Woakes,247235,17,7,38,2,2.23,0,0,1
Mark Wood,351588,14.3,2,46,5,3.17,0,0,1
Ben Stokes,311158,11,1,47,2,4.27,1,0,1
Vernon Philander,46945,1.3,1,1,0,0.66,0,0,2
Anrich Nortje,481979,11,1,61,2,5.54,0,0,2
Dane Paterson,327947,13.3,5,18,1,1.33,0,0,2
Beuran Hendricks,379927,15.3,2,64,5,4.12,0,0,2
Dwaine Pretorius,327830,18,2,87,2,4.83,1,0,2
Pieter Malan,277390,2,0,5,0,2.50,0,0,2
Stuart Broad,10617,10,1,26,2,2.60,0,0,3
Sam Curran,662973,11,2,38,0,3.45,1,0,3
Mark Wood,351588,16.1,3,54,4,3.34,1,0,3
Chris Woakes,247235,14,3,47,1,3.35,0,0,3
Ben Stokes,311158,16,4,47,2,2.93,1,0,3
Joe Root,303669,7,1,37,0,5.28,0,0,3
Joe Denly,12454,3,0,19,0,6.33,0,0,3
