Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Morne Morkel,46538,26,5,92,2,3.53,0,1,0
Kagiso Rabada,550215,26,7,91,4,3.50,0,0,0
Duanne Olivier,486679,21,3,91,2,4.33,0,0,0
Keshav Maharaj,267724,30.4,9,58,2,1.89,0,0,0
Theunis de Bruyn,486672,5,0,18,0,3.60,0,1,0
James Anderson,8608,17,5,38,4,2.23,0,0,1
Stuart Broad,10617,16.1,4,46,3,2.84,0,0,1
Toby Roland-Jones,370535,11,3,41,1,3.72,0,0,1
Moeen Ali,8917,21,5,57,2,2.71,0,0,1
Ben Stokes,311158,6,0,34,0,5.66,0,1,1
Dawid Malan,236489,1,0,7,0,7.00,0,0,1
Morne Morkel,46538,13.1,2,41,4,3.11,0,1,2
Kagiso Rabada,550215,17,4,50,2,2.94,2,0,2
Keshav Maharaj,267724,27,5,92,1,3.40,0,0,2
Duanne Olivier,486679,12,5,38,3,3.16,0,0,2
James Anderson,8608,14,7,16,3,1.14,0,0,3
Stuart Broad,10617,12,5,24,1,2.00,0,0,3
Toby Roland-Jones,370535,9,1,52,1,5.77,0,0,3
Moeen Ali,8917,19.5,1,69,5,3.47,0,0,3
Ben Stokes,311158,6,1,26,0,4.33,0,0,3
Joe Root,303669,2,0,8,0,4.00,0,0,3
