Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Kemar Roach,230553,17,2,63,1,3.70,0,0,0
Shannon Gabriel,446101,20,3,70,4,3.50,0,3,0
Roston Chase,391832,11,0,42,0,3.81,0,0,0
Jomel Warrican,432214,21.4,6,62,4,2.86,0,1,0
Devendra Bishoo,341593,15,0,60,1,4.00,0,0,0
Kraigg Brathwaite,348024,8,1,19,0,2.37,0,0,0
Mustafizur Rahman,330902,2,1,4,0,2.00,0,2,1
Mehidy Hasan Miraz,629063,15,0,67,1,4.46,0,0,1
Taijul Islam,401057,20,3,51,1,2.54,0,0,1
Shakib Al Hasan,56143,11,1,43,3,3.90,0,0,1
Nayeem Hasan,932635,14,2,61,5,4.35,0,0,1
Mahmudullah,56025,2,0,7,0,3.50,0,0,1
Kemar Roach,230553,1,0,11,0,11.00,0,0,2
Jomel Warrican,432214,16,2,43,2,2.68,0,0,2
Roston Chase,391832,6.5,1,18,3,2.63,0,0,2
Devendra Bishoo,341593,9,0,26,4,2.88,0,0,2
Shannon Gabriel,446101,3,0,24,1,8.00,0,3,2
Shakib Al Hasan,56143,7,0,30,2,4.28,0,0,3
Nayeem Hasan,932635,7,1,29,0,4.14,0,0,3
Taijul Islam,401057,11.2,2,33,6,2.91,0,0,3
Mehidy Hasan Miraz,629063,8,1,27,2,3.37,0,0,3
Mustafizur Rahman,330902,2,0,11,0,5.50,0,0,3
