Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Kagiso Rabada,550215,10,1,50,3,5.00,39,6,1,2,3,0
Lungi Ngidi,542023,5,1,16,1,3.20,24,2,0,0,0,0
Andile Phehlukwayo,540316,8,0,40,1,5.00,25,3,0,5,0,0
Anrich Nortje,481979,9.3,0,35,2,3.68,32,1,0,2,0,0
Imran Tahir,40618,10,1,33,2,3.30,38,3,0,1,0,0
Dwaine Pretorius,327830,4,0,27,0,6.75,8,2,0,0,0,0
Jean-Paul Duminy,44932,3,0,16,0,5.33,9,2,0,1,0,0
Lasith Malinga,49758,6,0,22,1,3.66,25,1,0,1,0,1
Dhananjaya de Silva,465793,1,0,3,0,3.00,4,0,0,0,0,1
Isuru Udana,328026,7,1,37,0,5.28,22,4,0,1,0,1
Akila Dananjaya,574178,7,0,38,0,5.42,19,4,0,0,0,1
Thisara Perera,233514,5,0,20,1,4.00,15,1,0,0,0,1
Angelo Perera,300629,2,0,11,0,5.50,5,1,0,0,0,1
