Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Abu Jayed,410763,3,0,34,1,11.33,6,4,2,0,0,0
Nazmul Islam,446810,4,0,32,0,8.00,6,2,1,0,0,0
Rubel Hossain,300619,4,0,32,1,8.00,7,3,1,0,0,0
Shakib Al Hasan,56143,4,0,19,1,4.75,10,0,1,0,0,0
Abul Hasan,373439,3,0,40,2,13.33,7,2,4,1,1,0
Mosaddek Hossain,550133,1,0,3,0,3.00,3,0,0,0,0,0
Mahmudullah,56025,1,0,1,2,1.00,5,0,0,0,0,0
Mujeeb Ur Rahman,974109,4,0,20,1,5.00,12,2,0,0,0,1
Shapoor Zadran,319746,4,0,40,3,10.00,7,4,2,0,0,1
Mohammad Nabi,25913,4,0,21,2,5.25,6,0,0,1,0,1
Karim Janat,793467,4,0,27,1,6.75,7,3,0,1,0,1
Rashid Khan,793463,3,0,13,3,4.33,12,2,0,1,0,1
