Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Fareed Ahmad,568136,10,0,65,3,6.50,6,0,0
Dawlat Zadran,516561,8.1,1,33,2,4.04,0,0,0
Gulbadin Naib,352048,9,0,39,1,4.33,2,0,0
Mohammad Nabi,25913,10,0,45,0,4.50,1,0,0
Rashid Khan,793463,10,1,29,4,2.90,1,0,0
Samiullah Shinwari,318339,1,0,9,0,9.00,0,0,0
Stuart Thompson,414821,10,0,38,1,3.80,2,0,1
Tim Murtagh,17134,9,1,36,1,4.00,0,0,1
Jacob Mulder,1005369,9,0,52,0,5.77,1,0,1
Andy McBrine,417381,10,0,39,0,3.90,0,0,1
George Dockrell,348034,9.4,0,58,1,6.00,0,0,1
Paul Stirling,303427,1,0,7,0,7.00,0,0,1
