Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Shivam Mavi,1079848,4,0,44,1,11.00,10,5,3,0,0,0
Prasidh Krishna,917159,4,0,35,2,8.75,10,5,1,0,0,0
Sunil Narine,230558,4,0,29,1,7.25,12,5,0,1,0,0
Andre Russell,276298,3,0,13,2,4.33,8,0,0,0,0,0
Kuldeep Yadav,559235,4,0,20,4,5.00,8,1,0,0,0,0
Krishnappa Gowtham,424377,2,0,32,0,16.00,1,2,3,0,0,1
Ben Stokes,311158,4,1,15,3,3.75,14,1,0,1,0,1
Jofra Archer,669855,4,0,43,0,10.75,10,6,2,0,0,1
Ish Sodhi,559066,4,0,21,1,5.25,11,2,0,0,0,1
Jaydev Unadkat,390484,3,0,23,0,7.66,7,4,0,0,0,1
Anureet Singh,376324,1,0,10,0,10.00,0,1,0,0,0,1
