Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mitchell Santner,502714,4,0,30,0,7.50,9,3,1,0,0,0
Trent Boult,277912,4,0,49,1,12.25,8,7,2,0,0,0
Tim Southee,232364,4,0,44,0,11.00,5,1,4,1,0,0
Colin de Grandhomme,55395,3,0,34,0,11.33,3,3,1,0,2,0
Ish Sodhi,559066,4,0,25,2,6.25,8,1,1,0,0,0
Colin Munro,232359,1,0,14,0,14.00,0,1,1,0,0,0
Ashish Nehra,31820,4,0,29,0,7.25,11,3,0,3,1,1
Yuzvendra Chahal,430246,4,0,26,2,6.50,10,2,1,0,0,1
Bhuvneshwar Kumar,326016,3,0,23,1,7.66,10,1,2,0,0,1
Jasprit Bumrah,625383,4,0,37,1,9.25,12,5,1,2,0,1
Axar Patel,554691,4,0,20,2,5.00,6,0,0,0,0,1
Hardik Pandya,625371,1,0,11,1,11.00,1,2,0,0,0,1
