Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Washington Sundar,719715,2,0,18,1,9.00,8,1,1,1,0,0
Bhuvneshwar Kumar,326016,4,0,19,2,4.75,16,1,1,1,0,0
Navdeep Saini,700167,4,1,17,3,4.25,19,0,2,2,0,0
Khaleel Ahmed,942645,2,0,8,1,4.00,7,1,0,0,0,0
Krunal Pandya,471342,4,1,20,1,5.00,13,1,1,0,0,0
Ravindra Jadeja,234675,4,1,13,1,3.25,16,0,1,0,0,0
Oshane Thomas,914567,4,0,29,0,7.25,10,2,1,0,0,1
Sheldon Cottrell,495551,4,0,20,2,5.00,17,1,1,4,0,1
Sunil Narine,230558,4,0,14,2,3.50,14,1,0,0,0,1
Keemo Paul,677081,3.2,0,23,2,6.90,7,1,1,1,0,1
Carlos Brathwaite,457249,2,0,12,0,6.00,3,1,0,0,0,1
