Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Jhye Richardson,774223,5,2,16,2,3.20,0,0,0
Nathan Coulter-Nile,261354,7,0,52,2,7.42,2,0,0
Marcus Stoinis,325012,6,0,40,0,6.66,1,0,0
Nathan Lyon,272279,10,0,64,1,6.40,0,0,0
Adam Zampa,379504,10,0,57,1,5.70,0,0,0
Aaron Finch,5334,10,0,41,1,4.09,0,0,0
Glenn Maxwell,325026,2,0,11,0,5.50,0,0,0
Imad Wasim,227758,8,1,60,0,7.50,2,0,1
Mohammad Abbas,389666,7,0,38,0,5.42,1,0,1
Faheem Ashraf,681117,9.5,0,45,0,4.57,0,0,1
Mohammad Hasnain,1158100,9,0,54,0,6.00,1,0,1
Yasir Shah,43685,10,1,60,1,6.00,0,0,1
Haris Sohail,318788,4,0,18,0,4.50,0,0,1
