Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Ishant Sharma,236779,11,0,27,0,2.45,0,1,0
Ravichandran Ashwin,26421,34.5,10,63,3,1.80,0,0,0
Jayant Yadav,447587,13,1,58,1,4.46,0,1,0
Ravindra Jadeja,234675,24,4,74,2,3.08,0,2,0
Umesh Yadav,376116,12,3,32,4,2.66,0,1,0
Mitchell Starc,311592,9,2,38,2,4.22,0,1,1
Steve O'Keefe,7069,13.1,2,35,6,2.65,0,0,1
Josh Hazlewood,288284,7,3,11,1,1.57,0,0,1
Nathan Lyon,272279,11,2,21,1,1.90,0,0,1
Ravichandran Ashwin,26421,28,3,119,4,4.25,0,0,2
Ravindra Jadeja,234675,33,10,65,3,1.96,0,0,2
Umesh Yadav,376116,13,1,39,2,3.00,0,0,2
Jayant Yadav,447587,10,1,43,1,4.30,0,1,2
Ishant Sharma,236779,3,0,6,0,2.00,0,0,2
Mitchell Starc,311592,2,2,0,0,0.00,0,0,3
Nathan Lyon,272279,14.5,2,53,4,3.57,0,0,3
Steve O'Keefe,7069,15,4,35,6,2.33,0,0,3
Josh Hazlewood,288284,2,0,7,0,3.50,0,0,3
