Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Billy Stanlake,533042,4,0,50,2,12.50,7,6,2,0,0,0
Michael Neser,376169,2.4,0,26,1,9.75,5,4,0,0,0,0
Peter Siddle,7898,2,0,8,1,4.00,7,1,0,0,0,0
Rashid Khan,793463,4,0,19,3,4.75,14,1,1,0,0,0
Ben Laughlin,315623,4,0,28,1,7.00,10,1,1,1,0,0
Matthew Short,605575,3,0,14,2,4.66,6,0,0,0,0,0
James Pattinson,272465,4,0,23,2,5.75,11,3,0,0,0,1
Mujeeb Ur Rahman,974109,4,0,26,0,6.50,10,3,0,0,0,1
Mark Steketee,555853,3.1,0,37,0,11.68,4,3,2,0,0,1
Joe Burns,326632,1,0,8,1,8.00,3,0,1,0,0,1
Mitchell Swepson,590326,4,0,27,1,6.75,8,1,1,0,0,1
Ben Cutting,230371,3,0,22,1,7.33,3,0,0,1,0,1
