Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Kagiso Rabada,550215,10,0,47,1,4.70,35,3,1,1,2,0
Junior Dala,545467,9,0,57,1,6.33,23,6,0,2,0,0
Wiaan Mulder,698189,8,0,59,2,7.37,23,8,0,3,1,0
Andile Phehlukwayo,540316,8,0,60,2,7.50,21,10,0,1,0,0
Keshav Maharaj,267724,10,0,32,1,3.20,34,0,1,0,0,0
Jean-Paul Duminy,44932,5,0,29,0,5.80,14,2,1,0,0,0
Suranga Lakmal,49619,4,0,22,1,5.50,17,5,0,0,0,1
Akila Dananjaya,574178,9,0,29,6,3.22,37,3,0,0,0,1
Dhananjaya de Silva,465793,4,0,21,1,5.25,13,3,0,0,0,1
Thisara Perera,233514,2,0,14,0,7.00,3,0,1,0,0,1
Lahiru Kumara,784375,5.4,0,34,2,6.00,17,5,0,1,0,1
