Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jhye Richardson,774223,4,1,22,3,5.50,13,1,1,0,0,0
Matthew Kelly,638912,2,0,32,0,16.00,1,3,2,1,0,0
Chris Jordan,288992,4,0,43,0,10.75,8,5,2,1,0,0
Mitchell Marsh,272450,2,0,10,2,5.00,7,1,0,2,0,0
Fawad Ahmed,240609,4,0,33,0,8.25,7,0,3,0,0,0
Ashton Agar,505120,4,0,35,0,8.75,5,1,2,1,0,0
Samit Patel,18632,4,0,35,0,8.75,4,1,2,0,0,1
Kane Richardson,272262,4,0,31,1,7.75,8,2,1,1,1,1
Richard Gleeson,473191,4,0,35,3,8.75,6,1,2,3,0,1
Will Sutherland,1076722,1,0,17,0,17.00,1,2,1,0,0,1
Cameron Boyce,326625,4,0,40,0,10.00,5,3,2,0,0,1
Dan Christian,4864,2,0,19,0,9.50,0,0,1,0,0,1
