Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Nasum Ahmed,348049,4,0,25,0,6.25,11,4,0,0,0,0
Mohammad Saifuddin,629070,3,0,35,1,11.66,3,6,0,1,0,0
Taskin Ahmed,538506,3.5,0,49,1,12.78,6,5,2,0,0,0
Shoriful Islam,990039,3,0,16,1,5.33,7,1,0,0,0,0
Mahedi Hasan,833087,4,0,45,2,11.25,6,2,3,1,2,0
Tim Southee,232364,4,0,21,2,5.25,12,2,0,0,0,1
Hamish Bennett,226493,3,0,31,2,10.33,6,3,1,3,0,1
Adam Milne,450860,3,0,34,2,11.33,6,4,1,1,1,1
Ish Sodhi,559066,3,0,34,0,11.33,6,3,2,1,0,1
Glenn Phillips,823509,3,0,20,1,6.66,6,2,0,0,0,1
