Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Bhuvneshwar Kumar,326016,6.5,0,35,1,5.12,24,5,0,0,0,0
Jasprit Bumrah,625383,8,1,39,1,4.87,27,4,0,0,0,0
Hardik Pandya,625371,10,1,49,2,4.90,41,9,0,1,0,0
Kuldeep Yadav,559235,10,0,42,3,4.20,31,3,0,2,0,0
Yuzvendra Chahal,430246,10,3,46,3,4.59,39,3,3,1,0,0
Suranga Lakmal,49619,5,2,20,0,4.00,22,3,0,1,0,1
Akila Dananjaya,574178,7.1,0,53,1,7.39,22,5,2,2,0,1
Angelo Mathews,49764,3,0,30,0,10.00,4,5,0,0,0,1
Sachith Pathirana,212756,4,0,33,0,8.25,6,3,1,0,0,1
Nuwan Pradeep,324358,3,0,10,0,3.33,11,1,0,0,0,1
Thisara Perera,233514,5,0,25,1,5.00,14,3,0,0,0,1
Asela Gunaratne,360456,4,0,30,0,7.50,12,3,0,4,0,1
Danushka Gunathilaka,345821,1,0,12,0,12.00,2,1,1,0,0,1
