Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Richard Gleeson,473191,2,0,29,0,14.50,2,5,0,2,0,0
Kane Richardson,272262,4,0,33,4,8.25,13,3,2,0,0,0
Harry Gurney,244639,3,0,25,0,8.33,3,2,0,0,0,0
Will Sutherland,1076722,3,0,20,0,6.66,5,2,0,0,0,0
Cameron Boyce,326625,4,0,18,2,4.50,7,0,0,0,0,0
Beau Webster,381329,1,0,10,0,10.00,1,0,1,0,0,0
Dan Christian,4864,3,0,17,0,5.66,7,2,0,0,0,0
Billy Stanlake,533042,4,0,31,0,7.75,8,2,0,0,0,1
Wes Agar,959833,4,0,20,2,5.00,13,1,0,2,0,1
Peter Siddle,7898,4,0,32,0,8.00,9,3,1,0,0,1
Cameron Valente,605576,4,0,36,2,9.00,6,0,2,0,0,1
Rashid Khan,793463,4,0,15,2,3.75,10,0,0,0,0,1
