Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Rubel Hossain,300619,8,1,41,0,5.12,2,0,0
Mustafizur Rahman,330902,9,2,23,4,2.55,2,0,0
Mashrafe Mortaza,56007,6.3,1,18,2,2.76,3,0,0
Mosaddek Hossain,550133,6,0,21,1,3.50,0,0,0
Shakib Al Hasan,56143,9,0,38,1,4.22,0,0,0
Mahmudullah,56025,3,0,13,0,4.33,0,0,0
Sunzamul Islam,380974,5,0,22,2,4.40,1,0,0
Peter Chase,524845,7,0,55,0,7.85,3,0,1
Tim Murtagh,17134,5,0,26,0,5.20,1,0,1
Barry McCarthy,348059,4,0,42,1,10.50,2,0,1
Paul Stirling,303427,2,0,14,0,7.00,0,0,1
Kevin O'Brien,24605,5.1,0,22,1,4.25,1,0,1
George Dockrell,348034,4,0,20,0,5.00,0,0,1
