Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mitchell Starc,311592,25.1,5,91,4,3.61,0,0,0
Josh Hazlewood,288284,28,9,92,3,3.28,0,1,0
Pat Cummins,489889,28,8,84,2,3.00,1,0,0
Nathan Lyon,272279,22,4,73,1,3.31,0,0,0
Mitchell Marsh,272450,9,1,43,0,4.77,0,0,0
Steven Smith,267192,3,1,8,0,2.66,0,0,0
James Anderson,8608,37.3,9,116,4,3.09,0,1,1
Stuart Broad,10617,35,3,142,0,4.05,0,0,1
Chris Woakes,247235,41,8,128,1,3.12,1,0,1
Craig Overton,464626,24,1,110,2,4.58,0,0,1
Moeen Ali,8917,33,4,120,1,3.63,0,0,1
Joe Root,303669,3,0,13,0,4.33,0,0,1
Dawid Malan,236489,6,1,13,0,2.16,0,0,1
Mitchell Starc,311592,17,5,44,1,2.58,0,0,2
Josh Hazlewood,288284,18,6,48,5,2.66,0,0,2
Mitchell Marsh,272450,3,1,14,0,4.66,0,0,2
Pat Cummins,489889,19.5,4,53,2,2.67,0,1,2
Nathan Lyon,272279,15,4,42,2,2.80,0,0,2
