Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,14,1,58,0,4.14,0,0,0
Lahiru Kumara,784375,17.4,2,68,2,3.84,1,0,0
Rangana Herath,49178,32,4,116,5,3.62,0,0,0
Dilruwan Perera,49920,24,0,86,1,3.58,0,1,0
Asela Gunaratne,360456,7,0,28,2,4.00,0,4,0
Chris Mpofu,55633,11,2,41,0,3.72,1,0,1
Donald Tiripano,392945,10,1,38,1,3.80,0,0,1
Sikandar Raza,299572,18,2,60,0,3.33,0,0,1
Graeme Cremer,55346,39.3,4,125,5,3.16,0,1,1
Malcolm Waller,55872,1,0,2,0,2.00,0,0,1
Sean Williams,55870,23,3,62,2,2.69,0,2,1
Suranga Lakmal,49619,14,0,43,0,3.07,0,0,2
Rangana Herath,49178,39.1,5,133,6,3.39,0,0,2
Dilruwan Perera,49920,30,2,95,3,3.16,0,0,2
Lahiru Kumara,784375,20,3,72,1,3.60,3,1,2
Kusal Mendis,629074,4,0,16,0,4.00,0,0,2
Sikandar Raza,299572,13,1,58,0,4.46,0,0,3
Sean Williams,55870,43.5,2,146,2,3.33,2,0,3
Graeme Cremer,55346,48,6,150,4,3.12,0,0,3
Malcolm Waller,55872,4,0,10,0,2.50,0,0,3
Chris Mpofu,55633,6,3,10,0,1.66,0,0,3
