Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jason Holder,391485,10,1,41,3,4.09,36,3,1,2,0,0
Alzarri Joseph,670031,10,0,76,4,7.60,25,7,2,2,1,0
Devendra Bishoo,341593,5,0,44,0,8.80,14,4,2,1,0,0
Carlos Brathwaite,457249,10,0,56,0,5.60,26,2,2,3,0,0
Ashley Nurse,315594,8,0,57,1,7.12,20,5,2,0,0,0
Jonathan Carter,314615,4,0,28,0,7.00,7,3,0,0,0,0
Kraigg Brathwaite,348024,3,0,22,0,7.33,7,2,1,0,0,0
Steven Finn,210283,10,1,35,2,3.50,45,2,1,2,0,1
Chris Woakes,247235,8,1,16,3,2.00,41,2,0,2,0,1
Ben Stokes,311158,7,2,27,1,3.85,31,4,0,4,0,1
Liam Plunkett,19264,8,2,27,3,3.37,39,3,1,1,0,1
Moeen Ali,8917,5,0,27,0,5.40,16,4,0,0,0,1
Adil Rashid,244497,1.2,0,5,1,3.75,3,0,0,0,0,1
