Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,19,5,54,5,2.84,0,0,0
Lahiru Kumara,784375,14,4,49,3,3.50,0,1,0
Angelo Mathews,49764,4,1,6,0,1.50,0,0,0
Dushmantha Chameera,552152,8,1,43,0,5.37,0,0,0
Dilruwan Perera,49920,5,1,13,1,2.60,0,0,0
Trent Boult,277912,15,8,30,6,2.00,0,0,1
Tim Southee,232364,15,5,35,3,2.33,0,0,1
Colin de Grandhomme,55395,6,0,19,1,3.16,0,0,1
Neil Wagner,233713,5,0,10,0,2.00,0,0,1
Suranga Lakmal,49619,30,6,96,0,3.20,0,0,2
Lahiru Kumara,784375,32,6,134,2,4.18,1,0,2
Dushmantha Chameera,552152,30,5,147,1,4.90,2,2,2
Dilruwan Perera,49920,41,3,149,1,3.63,0,1,2
Danushka Gunathilaka,345821,16,2,45,0,2.81,0,0,2
Dimuth Karunaratne,227772,4,2,6,0,1.50,0,0,2
Trent Boult,277912,28.2,11,77,3,2.71,0,0,3
Tim Southee,232364,27,13,61,2,2.25,0,0,3
Colin de Grandhomme,55395,10,1,23,0,2.29,1,0,3
Neil Wagner,233713,29,10,48,4,1.65,0,0,3
Ajaz Patel,595783,12,9,21,0,1.75,0,0,3
