Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
James Anderson,8608,4,3,1,0,0.25,0,0,0
Stuart Broad,10617,22.4,4,86,5,3.79,0,0,0
Chris Woakes,247235,21,2,58,3,2.76,0,0,0
Ben Stokes,311158,18,1,77,1,4.27,2,0,0
Moeen Ali,8917,13,3,42,1,3.23,0,0,0
Joe Denly,12454,2,1,7,0,3.50,0,0,0
Pat Cummins,489889,33,9,84,3,2.54,0,0,1
James Pattinson,272465,27,3,82,2,3.03,1,0,1
Peter Siddle,7898,27,8,52,2,1.92,0,0,1
Nathan Lyon,272279,43.5,8,112,3,2.55,0,1,1
Matthew Wade,230193,1,0,7,0,7.00,1,0,1
Travis Head,530011,2,1,7,0,3.50,0,0,1
Steven Smith,267192,2,0,9,0,4.50,0,0,1
Stuart Broad,10617,22,2,91,1,4.13,1,0,2
Chris Woakes,247235,13,1,46,1,3.53,1,0,2
Moeen Ali,8917,29,1,130,2,4.48,0,2,2
Joe Root,303669,12,1,50,0,4.16,0,0,2
Ben Stokes,311158,22,5,85,3,3.86,1,4,2
Joe Denly,12454,14,1,72,0,5.14,0,0,2
Peter Siddle,7898,12,2,28,0,2.33,0,0,3
Nathan Lyon,272279,20,5,49,6,2.45,0,0,3
James Pattinson,272465,8,1,29,0,3.62,0,1,3
Pat Cummins,489889,11.3,3,32,4,2.78,0,1,3
Steven Smith,267192,1,1,0,0,0.00,0,0,3
