Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Bhuvneshwar Kumar,326016,10,1,46,2,4.59,33,4,1,1,0,0
Mohammed Shami,481896,9,0,41,3,4.55,29,3,1,1,0,0
Yuzvendra Chahal,430246,9,0,51,2,5.66,23,3,1,0,0,0
Hardik Pandya,625371,10,0,45,2,4.50,37,3,0,4,0,0
Kuldeep Yadav,559235,8,0,39,0,4.87,20,2,0,0,0,0
Kedar Jadhav,290716,3,0,17,0,5.66,8,2,0,1,0,0
Trent Boult,277912,10,1,40,2,4.00,37,5,0,0,0,1
Doug Bracewell,362541,6,0,49,0,8.16,19,7,1,2,0,1
Lockie Ferguson,493773,10,1,57,0,5.70,34,5,2,4,0,1
Mitchell Santner,502714,10,0,45,1,4.50,32,4,1,0,0,1
Ish Sodhi,559066,7,0,53,0,7.57,14,4,1,2,0,1
