Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Prasidh Krishna,917159,3,0,41,0,13.66,6,7,1,1,0,0
Piyush Chawla,32966,4,0,32,0,8.00,4,3,0,0,0,0
Sunil Narine,230558,4,0,30,1,7.50,7,3,0,1,0,0
Lockie Ferguson,493773,2,0,32,0,16.00,3,4,2,0,0,0
Kuldeep Yadav,559235,4,0,31,1,7.75,6,2,0,0,0,0
Nitish Rana,604527,2,0,22,1,11.00,6,1,2,2,0,0
Andre Russell,276298,1,0,16,0,16.00,0,0,2,0,0,0
Tim Southee,232364,4,0,61,0,15.25,7,6,4,1,0,1
Navdeep Saini,700167,4,0,34,2,8.50,12,4,1,1,1,1
Yuzvendra Chahal,430246,4,0,24,1,6.00,8,0,1,0,0,1
Mohammed Siraj,940973,2.2,0,36,0,15.42,5,4,2,1,2,1
Pawan Negi,530773,3.1,0,21,2,6.63,8,1,1,0,0,1
Marcus Stoinis,325012,1.4,0,28,0,16.80,2,0,3,1,0,1
