Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Ishant Sharma,236779,12,4,22,5,1.83,0,0,0
Umesh Yadav,376116,7,2,29,3,4.14,0,0,0
Mohammed Shami,481896,10.3,2,36,2,3.42,0,0,0
Ravindra Jadeja,234675,1,0,5,0,5.00,0,0,0
Al-Amin Hossain,511532,22.4,3,85,3,3.75,1,0,1
Abu Jayed,410763,21,6,77,2,3.66,0,0,1
Ebadot Hossain,932355,21,3,91,3,4.33,3,0,1
Taijul Islam,401057,25,2,80,1,3.20,0,0,1
Ishant Sharma,236779,13,2,56,4,4.30,0,0,2
Umesh Yadav,376116,14.1,1,53,5,3.74,0,0,2
Mohammed Shami,481896,8,0,42,0,5.25,1,0,2
Ravichandran Ashwin,26421,5,0,19,0,3.80,0,0,2
Ravindra Jadeja,234675,1,0,8,0,8.00,0,0,2
