Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Hasan Ali,681305,4,0,42,1,10.50,2,0,0
Liam Dawson,211855,3,0,26,1,8.66,1,0,0
Umaid Asif,429122,4,0,31,1,7.75,0,0,0
Wahab Riaz,43590,4,0,38,0,9.50,1,0,0
Ibtisam Sheikh,1123377,2,0,17,0,8.50,0,0,0
Kieron Pollard,230559,3,0,15,0,5.00,0,0,0
Mohammad Irfan,429981,4,0,29,1,7.25,0,0,1
Nauman Ali,238672,1,0,14,0,14.00,0,0,1
Mohammad Ilyas,1159371,4,0,22,1,5.50,0,0,1
Shoaib Malik,42657,3,0,14,0,4.66,1,0,1
Dan Christian,4864,3,0,44,0,14.66,0,0,1
Junaid Khan,259551,3.2,0,42,0,12.60,1,1,1
Shahid Afridi,42639,1,0,9,1,9.00,1,0,1
