Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mitchell Starc,311592,36.2,11,90,1,2.47,0,2,0
Peter Siddle,7898,29,11,58,3,2.00,0,0,0
Nathan Lyon,272279,52,12,114,2,2.19,0,0,0
Jon Holland,230368,29,1,126,1,4.34,0,0,0
Marnus Labuschagne,787987,8,0,29,1,3.62,0,0,0
Mitchell Marsh,272450,10,0,38,0,3.80,0,1,0
Mohammad Abbas,389666,19,9,29,4,1.52,0,0,1
Wahab Riaz,43590,11,2,39,0,3.54,0,0,1
Yasir Shah,43685,28,6,80,0,2.85,0,0,1
Mohammad Hafeez,41434,3,1,2,0,0.66,0,0,1
Bilal Asif,498875,21.3,7,36,6,1.67,0,0,1
Azhar Ali,39037,1,0,3,0,3.00,0,0,1
Mitchell Starc,311592,6,1,18,0,3.00,0,0,2
Nathan Lyon,272279,25.5,6,58,2,2.24,0,0,2
Peter Siddle,7898,2,1,3,0,1.50,0,0,2
Jon Holland,230368,20,3,83,3,4.15,0,0,2
Travis Head,530011,1,0,6,0,6.00,0,0,2
Marnus Labuschagne,787987,3,0,9,1,3.00,0,0,2
Mohammad Abbas,389666,27,7,56,3,2.07,0,0,3
Mohammad Hafeez,41434,6,0,29,1,4.83,0,0,3
Yasir Shah,43685,43.5,9,114,4,2.60,0,0,3
Wahab Riaz,43590,16,3,42,0,2.62,0,3,3
Bilal Asif,498875,37,8,87,0,2.35,0,0,3
Haris Sohail,318788,9,1,16,0,1.77,0,0,3
Asad Shafiq,316397,1,0,1,0,1.00,0,0,3
