Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Hasan Ali,681305,4,0,41,1,10.25,0,0,0
Mohammad Asghar,654261,3,0,28,0,9.33,0,0,0
Chris Jordan,288992,4,0,30,0,7.50,1,0,0
Wahab Riaz,43590,4,0,40,3,10.00,2,1,0
Shahid Afridi,42639,2,0,20,0,10.00,0,0,0
Daren Sammy,53115,1,0,18,1,18.00,0,0,0
Mohammad Hafeez,41434,2,0,16,0,8.00,0,0,0
Anwar Ali,232491,4,0,25,1,6.25,0,0,1
Zulfiqar Babar,43871,4,0,28,1,7.00,0,0,1
Hassan Khan,959789,3,0,36,0,12.00,0,0,1
Tymal Mills,459257,4,0,45,1,11.25,6,0,1
Mohammad Nawaz,348148,4,0,51,3,12.75,2,0,1
Saad Nasim,317248,1,0,9,0,9.00,0,0,1
