Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Abbas,389666,27,9,72,1,2.66,0,0,0
Shaheen Shah Afridi,1072470,22,7,58,2,2.63,0,3,0
Usman Shinwari,697279,15,4,54,1,3.60,0,0,0
Naseem Shah,1158088,27,5,92,2,3.40,0,0,0
Haris Sohail,318788,3,0,12,0,4.00,0,0,0
Shan Masood,233901,1,1,0,0,0.00,0,0,0
Asad Shafiq,316397,2,0,8,0,4.00,0,0,0
Kasun Rajitha,499594,6,2,5,1,0.83,0,1,1
Vishwa Fernando,465783,13,1,49,0,3.76,1,0,1
Lahiru Kumara,784375,14,4,46,1,3.28,0,0,1
Dilruwan Perera,49920,24,0,85,0,3.54,0,0,1
Dhananjaya de Silva,465793,11,0,48,0,4.36,0,1,1
Oshada Fernando,366725,1,0,3,0,3.00,0,0,1
Kusal Mendis,629074,1,0,14,0,14.00,0,0,1
