Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Lungi Ngidi,542023,4,0,34,0,8.50,12,7,0,0,0,0
Kagiso Rabada,550215,10,0,57,0,5.70,36,6,1,3,0,0
Andile Phehlukwayo,540316,10,1,52,2,5.20,28,4,0,3,0,0
Chris Morris,439952,10,0,73,2,7.30,23,8,1,2,0,0
Aiden Markram,600498,5,0,38,0,7.60,10,4,1,0,0,0
Imran Tahir,40618,10,0,57,2,5.70,25,6,0,0,0,0
Jean-Paul Duminy,44932,1,0,10,0,10.00,2,2,0,0,0,0
Mustafizur Rahman,330902,10,0,67,3,6.70,30,6,2,2,0,1
Mehidy Hasan Miraz,629063,10,0,44,1,4.40,27,3,0,0,0,1
Mohammad Saifuddin,629070,8,1,57,2,7.12,17,7,0,2,1,1
Shakib Al Hasan,56143,10,0,50,1,5.00,21,2,0,0,0,1
Mashrafe Mortaza,56007,6,0,49,0,8.16,6,5,0,0,0,1
Mosaddek Hossain,550133,6,0,38,0,6.33,11,0,1,1,0,1
