Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Glenn Maxwell,325026,1,0,5,0,5.00,3,0,0,1,0,0
Nathan Coulter-Nile,261354,3,0,18,3,6.00,7,2,0,0,0,0
Billy Stanlake,533042,4,0,36,2,9.00,8,3,2,0,0,0
Andrew Tye,459508,4,0,40,0,10.00,4,3,1,3,0,0
Mitchell Marsh,272450,1,0,5,0,5.00,4,1,0,0,0,0
Adam Zampa,379504,4,0,21,0,5.25,8,0,1,0,0,0
D'Arcy Short,308798,3,0,16,1,5.33,4,0,0,0,0,0
Imad Wasim,227758,4,1,8,1,2.00,17,0,0,1,0,1
Faheem Ashraf,681117,3,0,14,0,4.66,11,0,1,0,0,1
Shadab Khan,922943,4,0,30,2,7.50,8,1,2,0,0,1
Shaheen Shah Afridi,1072470,4,0,35,2,8.75,11,1,2,4,0,1
Hasan Ali,681305,4,0,32,0,8.00,8,3,1,0,0,1
Mohammad Hafeez,41434,1,0,4,1,4.00,3,0,0,0,0,1
