Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Deepak Chahar,447261,4,0,31,1,7.75,12,5,0,2,0,0
Lungi Ngidi,542023,4,0,20,1,5.00,10,2,0,0,0,0
Shardul Thakur,475281,4,0,50,1,12.50,9,3,4,3,0,0
Dwayne Bravo,51439,4,0,25,2,6.25,9,1,0,4,0,0
Ravindra Jadeja,234675,4,0,13,1,3.25,14,1,0,0,0,0
Bhuvneshwar Kumar,326016,3.1,0,14,1,4.42,12,0,1,1,0,1
Sandeep Sharma,438362,3,0,30,2,10.00,6,4,1,0,0,1
Siddarth Kaul,326017,4,0,32,2,8.00,10,5,0,1,0,1
Carlos Brathwaite,457249,3,0,31,0,10.33,7,3,2,1,0,1
Rashid Khan,793463,4,0,11,2,2.75,14,0,0,0,0,1
Shakib Al Hasan,56143,2,0,20,0,10.00,1,1,1,0,0,1
