Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Imad Wasim,227758,4,0,21,0,5.25,14,2,1,0,0,0
Mohammad Amir,290948,2,0,6,2,3.00,9,1,0,0,0,0
Tymal Mills,459257,4,0,28,1,7.00,14,2,1,2,1,0
Shahid Afridi,42639,4,0,22,2,5.50,15,1,2,0,0,0
Mohammad Irfan,805925,4,0,27,1,6.75,8,1,1,3,0,0
Ravi Bopara,10582,2,0,27,0,13.50,3,2,2,1,0,0
Umaid Asif,429122,4,0,20,0,5.00,15,3,0,2,0,1
Chris Jordan,288992,4,0,29,2,7.25,11,3,1,0,0,1
Mohammad Asghar,654261,3.4,0,30,1,8.18,7,1,2,0,0,1
Wahab Riaz,43590,4,0,29,0,7.25,7,3,0,3,0,1
Ibtisam Sheikh,1123377,4,0,25,2,6.25,10,2,1,0,0,1
