Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mark Wood,351588,10,0,38,1,3.80,36,2,1,2,0,0
Tom Curran,550235,10,0,62,0,6.20,28,5,2,1,1,0
Moeen Ali,8917,7,0,51,0,7.28,19,1,4,1,0,0
Liam Plunkett,19264,7,0,39,1,5.57,22,3,1,4,0,0
Ben Stokes,311158,10,1,62,1,6.20,23,1,2,4,2,0
Adil Rashid,244497,6,0,28,1,4.66,18,1,1,1,0,0
Sheldon Cottrell,495551,9,0,46,5,5.11,25,4,0,3,0,1
Jason Holder,391485,10,1,53,3,5.30,37,5,2,2,0,1
Oshane Thomas,914567,5,0,32,1,6.40,16,4,1,0,0,1
Ashley Nurse,315594,6,0,28,0,4.66,19,0,2,0,0,1
Devendra Bishoo,341593,10,0,49,0,4.90,30,3,1,1,0,1
Chris Gayle,51880,2,0,15,0,7.50,6,1,1,1,0,1
Carlos Brathwaite,457249,5.4,0,37,1,6.52,17,6,0,2,0,1
