Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Amir,290948,15.4,2,36,2,2.29,0,1,0
Mohammad Abbas,389666,18,6,44,2,2.44,0,0,0
Hasan Ali,681305,17,3,75,2,4.41,1,0,0
Faheem Ashraf,681117,15,2,57,3,3.80,0,3,0
Shadab Khan,922943,10,2,39,1,3.90,0,0,0
Asad Shafiq,316397,2,0,9,0,4.50,0,0,0
Dale Steyn,47492,12,4,35,0,2.91,0,0,1
Vernon Philander,46945,13,4,43,3,3.30,0,0,1
Kagiso Rabada,550215,11.4,0,41,2,3.51,0,0,1
Duanne Olivier,486679,13,2,51,5,3.92,0,0,1
Mohammad Amir,290948,20,2,56,2,2.80,0,0,2
Mohammad Abbas,389666,18,3,73,1,4.05,1,0,2
Hasan Ali,681305,17,1,83,1,4.88,0,0,2
Faheem Ashraf,681117,14,3,42,3,3.00,0,2,2
Shadab Khan,922943,11.3,0,41,3,3.56,0,0,2
Dale Steyn,47492,20,2,80,2,4.00,0,0,3
Vernon Philander,46945,14,4,41,1,2.92,0,0,3
Duanne Olivier,486679,15,2,74,3,4.93,0,1,3
Kagiso Rabada,550215,16,2,75,3,4.68,0,0,3
Dean Elgar,230852,0.4,0,1,0,1.50,0,0,3
